Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Commercial,4485,9,6,1,Carpet,13,Flat,Basement,Company A,7380,151425,11
Industrial,885,7,10,2,Wood,10,Gabled,Slab,Company D,17282,180136,24
Commercial,2477,4,7,1,Wood,11,Flat,Basement,Company C,20970,313060,29
Industrial,2782,8,4,2,Carpet,13,Flat,Slab,Company D,11033,380553,36
Industrial,2286,3,11,2,Wood,9,Pitched,Basement,Company C,34811,272040,6
Commercial,1241,3,11,2,Carpet,9,Gabled,Slab,Company D,42500,485304,7
Residential,1070,7,1,4,Carpet,11,Pitched,Crawl Space,Company D,17266,240056,12
Residential,1143,9,12,2,Carpet,11,Pitched,Crawl Space,Company C,22329,436178,17
Commercial,2006,4,6,3,Wood,10,Gabled,Basement,Company A,33269,448024,35
Residential,3881,4,4,2,Wood,12,Flat,Crawl Space,Company C,40530,313137,13
Industrial,2057,1,3,2,Carpet,9,Pitched,Basement,Company C,6804,431245,18
Industrial,3091,1,4,2,Tile,8,Gabled,Basement,Company C,31602,247898,30
Commercial,2332,3,6,2,Carpet,11,Flat,Basement,Company B,23718,362090,6
Residential,4222,7,5,1,Carpet,11,Flat,Slab,Company B,21870,214337,30
Residential,2453,9,2,4,Carpet,13,Flat,Slab,Company D,15537,387028,23
Industrial,1038,4,2,4,Tile,13,Pitched,Basement,Company B,39373,342145,13
Commercial,1714,2,3,4,Wood,13,Pitched,Crawl Space,Company A,24313,165326,17
Residential,2238,6,11,1,Wood,9,Gabled,Crawl Space,Company C,27666,203831,28
Commercial,3816,6,6,2,Carpet,13,Flat,Crawl Space,Company A,26652,400604,27
Residential,2260,9,12,2,Carpet,11,Flat,Slab,Company C,24097,294801,27
Industrial,3879,4,14,4,Wood,9,Gabled,Slab,Company A,31638,384216,24
Industrial,3058,8,1,3,Carpet,14,Flat,Slab,Company B,49439,210273,26
Commercial,1166,3,11,2,Wood,8,Flat,Crawl Space,Company C,27971,189491,17
Industrial,3791,2,7,2,Tile,8,Gabled,Crawl Space,Company B,30937,317032,7
Residential,4541,9,8,2,Carpet,14,Gabled,Crawl Space,Company B,33103,200722,26
Industrial,885,6,7,1,Wood,9,Pitched,Crawl Space,Company C,9200,184641,20
Commercial,3293,8,11,2,Wood,11,Pitched,Slab,Company A,31530,374485,33
Commercial,931,9,3,4,Tile,10,Pitched,Basement,Company D,7843,297184,16
Commercial,1703,1,6,2,Carpet,14,Gabled,Crawl Space,Company B,40484,100199,24
Residential,4256,1,14,4,Tile,10,Pitched,Crawl Space,Company B,42102,286802,30
Residential,2021,5,4,3,Wood,12,Flat,Slab,Company C,11963,424980,6
Residential,2563,9,5,1,Wood,10,Pitched,Slab,Company C,42485,394696,8
Residential,3604,7,3,3,Tile,13,Pitched,Crawl Space,Company A,17477,125984,6
Residential,2026,7,5,2,Tile,11,Pitched,Basement,Company B,31881,274744,14
Industrial,2084,2,6,3,Tile,10,Gabled,Slab,Company D,46152,383187,32
Residential,1489,3,8,2,Carpet,12,Flat,Slab,Company B,11141,447984,26
Residential,2796,4,12,4,Wood,8,Gabled,Slab,Company A,28099,201623,19
Industrial,1909,2,6,2,Carpet,9,Flat,Slab,Company D,8436,203494,28
Residential,1229,9,9,1,Carpet,10,Pitched,Crawl Space,Company C,13589,415874,21
Commercial,4926,5,10,3,Tile,9,Pitched,Crawl Space,Company C,46755,203055,8
Residential,4581,7,10,2,Carpet,14,Flat,Crawl Space,Company C,19379,487969,36
Residential,1402,9,14,4,Carpet,9,Gabled,Basement,Company A,16128,131044,14
Commercial,1239,5,10,3,Tile,13,Gabled,Slab,Company C,33091,173732,36
Commercial,1784,6,10,1,Tile,13,Pitched,Slab,Company D,12572,494164,34
Commercial,2718,4,4,2,Tile,8,Flat,Slab,Company C,48475,305818,22
Commercial,1327,8,2,1,Wood,12,Flat,Crawl Space,Company A,36201,269199,31
Residential,3796,1,12,4,Wood,11,Flat,Slab,Company B,37934,197169,22
Commercial,4267,1,9,3,Carpet,11,Flat,Crawl Space,Company B,46219,351070,9
Commercial,2161,5,11,3,Carpet,11,Pitched,Crawl Space,Company D,44067,154277,17
Industrial,1503,9,3,3,Wood,14,Gabled,Basement,Company A,43694,412638,35
Commercial,1462,2,11,4,Carpet,12,Pitched,Slab,Company C,24136,372282,19
Commercial,1164,3,7,2,Tile,13,Flat,Crawl Space,Company C,9935,291413,27
Industrial,1722,8,4,2,Wood,12,Gabled,Slab,Company B,33987,166974,19
Industrial,4656,5,12,2,Carpet,12,Pitched,Crawl Space,Company C,15639,202335,19
Residential,975,3,12,1,Carpet,10,Flat,Crawl Space,Company B,20922,237108,21
Industrial,1735,6,1,4,Carpet,9,Pitched,Crawl Space,Company B,6822,314029,30
Residential,1181,6,8,3,Wood,12,Flat,Crawl Space,Company C,22030,269167,14
Industrial,1105,5,13,4,Wood,12,Pitched,Basement,Company B,14604,411297,7
Industrial,3190,5,12,4,Wood,14,Pitched,Slab,Company B,43081,473137,10
Residential,3003,6,4,4,Tile,10,Pitched,Slab,Company A,46768,104857,10
Industrial,2265,2,11,3,Carpet,9,Flat,Crawl Space,Company C,12663,184049,23
Residential,4071,6,6,3,Carpet,14,Gabled,Slab,Company A,39371,426482,16
Industrial,1202,2,7,1,Tile,13,Gabled,Slab,Company C,40593,186808,14
Commercial,3470,3,8,4,Wood,13,Flat,Slab,Company C,27114,365698,14
Industrial,2601,2,10,2,Wood,11,Gabled,Basement,Company C,16072,197670,17
Residential,3450,1,2,1,Wood,8,Gabled,Crawl Space,Company C,20618,346658,9
Industrial,976,1,9,3,Tile,12,Pitched,Basement,Company D,22834,371845,8
Residential,1542,9,10,3,Carpet,12,Pitched,Slab,Company D,44321,211160,10
Residential,3148,4,13,1,Tile,8,Flat,Slab,Company B,6104,441451,26
Commercial,1550,5,3,2,Carpet,12,Flat,Basement,Company A,19841,455855,12
Commercial,1668,7,1,4,Carpet,13,Pitched,Crawl Space,Company A,11173,365619,29
Residential,4862,2,2,4,Carpet,12,Flat,Slab,Company B,5839,266020,19
Industrial,4767,9,8,2,Tile,12,Flat,Basement,Company A,42234,433726,35
Residential,1013,4,10,4,Wood,8,Gabled,Basement,Company D,43137,299447,10
Residential,2417,1,6,3,Wood,13,Flat,Crawl Space,Company A,47738,428938,29
Industrial,3330,8,11,1,Tile,10,Flat,Basement,Company C,37791,409375,6
Industrial,4133,4,1,2,Carpet,10,Pitched,Basement,Company C,32987,148190,21
Industrial,2397,7,11,1,Tile,8,Flat,Basement,Company C,29435,333132,33
Industrial,1311,3,9,4,Wood,10,Pitched,Slab,Company C,13452,337995,35
Residential,1052,9,7,4,Tile,11,Flat,Slab,Company B,33579,378871,35
Residential,4933,5,10,3,Carpet,11,Gabled,Crawl Space,Company B,7775,191260,30
Commercial,1428,5,11,3,Wood,13,Pitched,Basement,Company D,17788,234766,24
Residential,4276,3,3,4,Carpet,8,Flat,Basement,Company D,11070,463686,28
Industrial,1786,9,13,4,Tile,9,Flat,Slab,Company D,46523,373787,7
Commercial,2525,3,7,3,Carpet,13,Gabled,Slab,Company B,20265,245156,23
Industrial,2893,2,6,3,Tile,12,Flat,Slab,Company A,8309,263376,10
Residential,2501,9,3,2,Wood,9,Gabled,Crawl Space,Company C,42891,302253,28
Commercial,1104,9,8,3,Wood,12,Pitched,Slab,Company A,48000,178042,33
Industrial,4878,4,1,2,Wood,13,Pitched,Basement,Company C,44269,400425,16
Commercial,3080,4,5,2,Carpet,14,Flat,Basement,Company D,48719,307446,21
Commercial,3607,6,8,1,Tile,10,Pitched,Basement,Company C,26544,229916,14
Residential,3686,9,3,3,Tile,10,Gabled,Crawl Space,Company A,32119,172036,21
Industrial,4254,8,11,2,Tile,11,Gabled,Basement,Company A,11568,469371,8
Commercial,1824,3,13,1,Carpet,9,Flat,Basement,Company D,10878,397259,32
Commercial,3775,6,10,1,Tile,8,Gabled,Basement,Company D,37286,257516,8
Industrial,1306,7,11,3,Wood,14,Gabled,Slab,Company A,41958,296771,36
Commercial,3751,6,12,3,Tile,12,Gabled,Basement,Company D,25539,162335,25
Commercial,1853,3,6,1,Carpet,10,Flat,Slab,Company B,6458,298074,32
Commercial,3474,9,10,2,Wood,14,Pitched,Slab,Company D,8879,268607,29
Industrial,3367,4,11,3,Wood,13,Gabled,Crawl Space,Company A,31054,236556,7
Industrial,2704,2,2,1,Carpet,14,Pitched,Crawl Space,Company B,15948,243332,18
Industrial,3694,9,9,1,Wood,12,Pitched,Basement,Company A,16068,140000,11
Industrial,1900,3,2,2,Tile,8,Flat,Crawl Space,Company B,48846,443743,19
Residential,4461,6,5,4,Carpet,14,Flat,Slab,Company D,45869,453795,29
Commercial,2436,5,3,2,Tile,12,Pitched,Slab,Company D,17649,228637,32
Industrial,2255,2,10,1,Carpet,11,Flat,Basement,Company A,19013,225696,14
Commercial,4413,1,12,2,Carpet,8,Pitched,Basement,Company B,6075,351003,23
Commercial,838,9,9,3,Carpet,8,Gabled,Basement,Company A,37951,256881,28
Residential,3884,3,9,1,Tile,12,Pitched,Slab,Company C,32794,302828,8
Industrial,3531,7,7,2,Carpet,12,Pitched,Slab,Company D,46083,359604,17
Industrial,3215,9,10,2,Wood,10,Gabled,Basement,Company A,33485,397640,24
Commercial,1558,9,5,2,Tile,12,Flat,Basement,Company A,47677,247752,10
Industrial,3916,6,9,2,Carpet,8,Pitched,Slab,Company C,27115,430761,19
Commercial,1564,8,7,1,Carpet,14,Flat,Crawl Space,Company C,37667,151316,31
Commercial,3222,9,2,2,Tile,13,Gabled,Slab,Company B,47426,470146,13
Residential,2114,3,10,3,Wood,12,Pitched,Crawl Space,Company C,46789,429603,26
Residential,4795,6,1,4,Wood,13,Pitched,Basement,Company B,44089,315236,18
Residential,4829,5,10,4,Carpet,13,Pitched,Slab,Company A,10129,277835,36
Commercial,4493,7,10,4,Carpet,10,Pitched,Basement,Company C,18474,290650,36
Industrial,3985,7,14,3,Wood,9,Flat,Basement,Company B,7674,428357,13
Residential,3666,9,4,4,Carpet,13,Flat,Basement,Company A,38486,440247,9
Industrial,2117,1,10,1,Wood,11,Gabled,Slab,Company B,46050,293767,35
Residential,1500,6,8,1,Wood,13,Flat,Slab,Company A,40454,343474,32
Residential,3001,5,6,3,Wood,14,Pitched,Crawl Space,Company B,5236,295411,21
Commercial,2393,4,14,3,Wood,8,Gabled,Slab,Company D,45474,152339,28
Residential,4787,1,2,1,Carpet,14,Pitched,Crawl Space,Company A,49688,210555,26
Residential,4945,4,5,3,Tile,10,Pitched,Crawl Space,Company A,27415,122394,31
Commercial,2030,7,9,3,Tile,11,Gabled,Slab,Company B,13674,383222,36
Industrial,3412,4,6,1,Wood,14,Pitched,Slab,Company A,14881,216302,36
Residential,3937,1,6,1,Carpet,12,Pitched,Basement,Company B,43199,166132,8
Commercial,2708,1,7,2,Tile,13,Gabled,Basement,Company A,7269,240387,10
Residential,2590,1,13,2,Tile,12,Flat,Slab,Company C,14705,185535,19
Commercial,3728,5,11,4,Wood,9,Gabled,Crawl Space,Company C,8291,326057,30
Industrial,1888,7,5,3,Wood,12,Gabled,Slab,Company B,45193,209370,20
Industrial,3181,9,3,1,Carpet,11,Gabled,Basement,Company D,34651,334285,35
Commercial,4927,8,3,4,Tile,10,Flat,Crawl Space,Company C,36645,409860,12
Commercial,3745,2,5,2,Wood,14,Gabled,Basement,Company C,40144,478655,35
Commercial,4369,9,4,3,Wood,9,Flat,Slab,Company A,47303,197363,29
Industrial,1965,4,5,4,Carpet,11,Pitched,Slab,Company D,28616,454598,30
Residential,1400,5,14,3,Wood,10,Gabled,Slab,Company D,46626,441647,6
Industrial,2825,5,9,4,Wood,14,Pitched,Basement,Company D,8208,464838,36
Commercial,2384,4,5,3,Wood,11,Pitched,Slab,Company D,48987,410587,36
Commercial,1787,6,4,3,Wood,12,Flat,Slab,Company D,25646,329252,28
Industrial,2765,1,13,1,Wood,11,Pitched,Slab,Company D,17450,324995,34
Commercial,2239,2,4,3,Carpet,9,Pitched,Basement,Company C,28200,291167,33
Industrial,1668,4,1,2,Wood,11,Gabled,Basement,Company B,16660,224441,34
Commercial,2863,4,10,1,Tile,8,Pitched,Slab,Company B,14037,335570,15
Residential,1929,8,4,3,Wood,12,Gabled,Basement,Company D,33084,421859,13
Residential,4529,9,12,2,Wood,11,Pitched,Crawl Space,Company A,22408,181509,13
Commercial,2734,4,14,2,Tile,10,Flat,Crawl Space,Company C,39993,297229,35
Industrial,1876,6,4,4,Tile,12,Pitched,Crawl Space,Company A,21198,279353,35
Residential,2439,4,9,1,Wood,13,Flat,Crawl Space,Company C,41782,114540,14
Industrial,2192,4,11,1,Carpet,10,Gabled,Slab,Company C,49512,131725,11
Commercial,830,9,4,4,Tile,9,Gabled,Crawl Space,Company C,8061,417510,20
Industrial,1503,4,7,4,Carpet,13,Pitched,Slab,Company A,22254,247607,28
Residential,1668,6,1,4,Wood,13,Pitched,Slab,Company A,40059,339170,29
Industrial,1032,9,14,1,Wood,13,Gabled,Basement,Company D,5691,194402,18
Industrial,1750,3,7,2,Tile,8,Gabled,Crawl Space,Company C,14563,129173,14
Commercial,858,7,14,2,Tile,14,Gabled,Slab,Company B,47099,380591,23
Commercial,3618,7,2,3,Carpet,11,Flat,Basement,Company C,42335,104318,25
Commercial,4400,1,12,1,Wood,12,Pitched,Slab,Company B,22998,479552,9
Residential,3949,2,11,1,Tile,14,Gabled,Slab,Company D,15842,254289,25
Residential,1101,5,8,4,Tile,11,Gabled,Basement,Company D,33489,118803,22
Commercial,3650,8,1,1,Tile,11,Pitched,Slab,Company D,9299,193784,18
Commercial,3744,6,10,1,Carpet,12,Pitched,Basement,Company C,10288,304150,32
Residential,2723,7,3,2,Wood,14,Flat,Crawl Space,Company C,35876,160409,23
Residential,1116,3,8,1,Tile,13,Gabled,Slab,Company B,19023,237601,30
Residential,2688,6,10,2,Tile,13,Pitched,Slab,Company B,40785,395482,13
Residential,3515,9,8,2,Tile,8,Flat,Crawl Space,Company A,5904,258910,15
Commercial,2681,3,11,1,Wood,8,Gabled,Slab,Company B,21873,431069,22
Residential,4698,6,13,2,Carpet,9,Flat,Basement,Company D,32129,206579,13
Commercial,4913,7,5,4,Carpet,12,Pitched,Basement,Company C,8854,286497,33
Industrial,1978,5,5,2,Wood,12,Flat,Basement,Company A,9099,181670,31
Industrial,4655,8,8,1,Carpet,10,Gabled,Slab,Company C,19996,491805,24
Residential,1131,8,10,4,Carpet,10,Pitched,Crawl Space,Company D,49614,231445,25
Industrial,1327,6,5,4,Tile,10,Gabled,Slab,Company D,37687,420135,29
Industrial,2859,7,9,1,Carpet,8,Flat,Crawl Space,Company D,5903,371245,17
Industrial,1898,3,1,3,Tile,9,Flat,Crawl Space,Company A,26037,126966,13
Residential,1011,7,5,2,Carpet,9,Flat,Slab,Company C,24155,336871,36
Residential,2514,7,3,2,Tile,13,Pitched,Crawl Space,Company B,18421,248512,32
Industrial,3488,4,3,3,Wood,11,Flat,Slab,Company C,43085,239511,24
Commercial,3130,4,2,4,Wood,9,Pitched,Slab,Company C,17680,331066,25
Industrial,4066,3,3,3,Carpet,14,Flat,Slab,Company A,48981,380330,8
Residential,1832,7,7,1,Tile,10,Flat,Slab,Company B,36151,400896,35
Residential,2132,5,8,3,Wood,12,Pitched,Basement,Company B,7099,492458,13
Residential,2640,3,12,4,Wood,11,Pitched,Slab,Company C,43300,459397,29
Industrial,2938,6,8,1,Carpet,13,Pitched,Basement,Company D,36902,493066,13
Commercial,4891,6,11,1,Tile,8,Gabled,Slab,Company C,49375,456113,17
Residential,1243,6,8,1,Tile,9,Flat,Crawl Space,Company A,8134,149755,34
Residential,4974,2,1,2,Wood,13,Gabled,Basement,Company D,24607,482301,20
Industrial,2298,7,14,2,Carpet,12,Flat,Slab,Company A,18487,236265,6
Commercial,1726,7,11,1,Wood,10,Flat,Slab,Company D,49834,406857,19
Industrial,1422,4,7,3,Wood,8,Flat,Crawl Space,Company D,39328,207778,26
Residential,2279,6,2,2,Carpet,8,Flat,Crawl Space,Company D,31982,274985,6
Commercial,3837,4,11,4,Carpet,9,Gabled,Slab,Company B,36252,152436,14
Commercial,4185,4,10,2,Carpet,14,Flat,Crawl Space,Company D,43018,218642,18
Residential,4118,6,4,3,Tile,12,Gabled,Crawl Space,Company B,6033,299153,36
Commercial,1033,9,5,2,Carpet,10,Pitched,Basement,Company A,48185,402534,28
Commercial,2417,7,12,3,Carpet,10,Gabled,Crawl Space,Company D,5718,117853,6
Industrial,3491,2,1,3,Wood,10,Flat,Crawl Space,Company D,27351,459841,30
Residential,2830,6,14,2,Carpet,10,Gabled,Basement,Company D,8819,387896,11
Residential,1186,5,4,3,Carpet,9,Gabled,Slab,Company A,10806,484519,19
Residential,2434,6,4,3,Wood,13,Pitched,Basement,Company C,20414,208596,33
Residential,4933,8,9,4,Tile,13,Pitched,Crawl Space,Company C,5967,133003,30
Residential,1984,8,9,1,Carpet,13,Pitched,Basement,Company A,44183,177275,12
Commercial,2767,3,13,1,Wood,9,Flat,Crawl Space,Company A,44471,195753,28
Industrial,1040,9,13,2,Tile,12,Gabled,Basement,Company A,22698,240877,16
Residential,1361,6,11,3,Tile,14,Gabled,Basement,Company C,47939,260092,12
Industrial,2799,7,10,2,Carpet,11,Pitched,Slab,Company B,48853,129824,29
Industrial,2729,9,1,2,Tile,9,Flat,Crawl Space,Company A,12784,353625,22
Commercial,3579,7,8,1,Carpet,10,Flat,Basement,Company C,35042,160877,36
Residential,2475,9,4,3,Tile,13,Flat,Basement,Company B,23859,141747,31
Commercial,3315,1,4,2,Tile,13,Pitched,Crawl Space,Company D,16183,479365,25
Residential,2477,1,5,2,Tile,12,Flat,Basement,Company D,35080,249295,33
Commercial,4941,3,2,1,Carpet,10,Flat,Slab,Company A,6898,103555,12
Industrial,4546,9,1,1,Tile,9,Flat,Crawl Space,Company B,25829,382856,30
Residential,4156,1,5,1,Wood,13,Pitched,Slab,Company C,25990,348573,23
Industrial,2451,1,7,2,Wood,12,Pitched,Crawl Space,Company D,37649,344537,21
Industrial,4977,5,10,3,Tile,14,Gabled,Slab,Company D,23782,152517,11
Commercial,4641,8,9,1,Carpet,10,Gabled,Crawl Space,Company C,22931,405321,7
Residential,3241,2,12,1,Wood,13,Gabled,Basement,Company D,19882,228251,25
Industrial,1394,4,12,3,Tile,11,Pitched,Crawl Space,Company D,25705,263846,34
Commercial,3412,6,13,2,Wood,8,Gabled,Basement,Company A,46638,175754,28
Residential,4896,1,2,2,Wood,8,Flat,Slab,Company B,33287,351844,7
Residential,2296,4,12,3,Wood,13,Pitched,Basement,Company B,41191,406893,30
Industrial,4355,4,8,1,Wood,10,Pitched,Slab,Company B,24147,407144,20
Residential,4158,9,7,4,Wood,13,Gabled,Basement,Company B,23860,305843,11
Industrial,2401,9,2,3,Tile,14,Flat,Slab,Company C,35615,263763,16
Residential,1714,6,5,4,Wood,8,Flat,Crawl Space,Company B,13661,455865,13
Commercial,2644,8,7,2,Tile,13,Pitched,Crawl Space,Company A,21906,277240,34
Industrial,2795,4,3,2,Wood,13,Pitched,Basement,Company C,41123,225267,14
Industrial,894,8,2,4,Carpet,11,Gabled,Crawl Space,Company A,29556,142039,14
Residential,1292,3,6,1,Tile,13,Flat,Basement,Company D,5743,464286,19
Residential,3869,2,10,4,Carpet,14,Pitched,Slab,Company B,37787,323686,18
Industrial,949,6,13,1,Carpet,11,Flat,Slab,Company B,13132,158429,20
Residential,1846,5,6,3,Wood,10,Pitched,Crawl Space,Company C,35450,291728,19
Commercial,3603,8,11,2,Wood,11,Gabled,Crawl Space,Company B,13126,103517,21
Residential,1198,1,4,2,Wood,8,Pitched,Basement,Company A,20731,465347,21
Commercial,1351,3,1,4,Wood,10,Pitched,Basement,Company C,12481,376243,24
Commercial,1094,7,5,3,Wood,14,Pitched,Slab,Company B,20189,118925,18
Commercial,1943,4,1,4,Carpet,13,Gabled,Slab,Company A,43308,336945,17
Commercial,1255,5,11,4,Carpet,8,Gabled,Basement,Company D,16240,149607,14
Commercial,2353,8,14,4,Wood,11,Gabled,Crawl Space,Company B,15315,306362,33
Residential,968,1,11,1,Wood,11,Pitched,Crawl Space,Company B,26852,410148,9
Commercial,2746,1,8,2,Tile,12,Pitched,Basement,Company B,23069,402509,13
Residential,1053,7,2,2,Tile,9,Flat,Basement,Company D,10560,221128,17
Commercial,3176,9,9,4,Carpet,14,Gabled,Crawl Space,Company B,10205,240851,32
Industrial,2120,4,9,1,Carpet,14,Gabled,Crawl Space,Company D,46554,435234,27
Commercial,3683,8,3,2,Carpet,13,Pitched,Crawl Space,Company A,6480,143518,6
Industrial,4407,7,6,1,Wood,9,Gabled,Crawl Space,Company C,34001,383386,17
Commercial,2925,2,9,3,Carpet,10,Flat,Basement,Company A,45549,499837,13
Commercial,4296,5,7,1,Carpet,8,Gabled,Slab,Company A,35216,131446,33
Commercial,3040,9,4,1,Carpet,9,Gabled,Crawl Space,Company C,47523,474680,9
Industrial,1200,9,3,3,Tile,10,Gabled,Slab,Company C,46181,197987,15
Industrial,2956,3,2,2,Carpet,11,Flat,Slab,Company B,20569,133911,6
Commercial,3176,3,10,2,Carpet,9,Flat,Crawl Space,Company D,19873,350280,25
Residential,1162,2,10,1,Tile,8,Gabled,Basement,Company B,33818,274282,8
Commercial,4738,7,1,1,Carpet,12,Flat,Slab,Company A,41707,264797,20
Industrial,4651,6,11,3,Wood,14,Pitched,Slab,Company D,9163,248264,7
Commercial,4212,5,10,3,Tile,12,Gabled,Basement,Company B,40120,204677,15
Industrial,3106,7,11,2,Carpet,9,Flat,Crawl Space,Company C,25505,329329,13
Industrial,884,4,1,2,Tile,12,Flat,Crawl Space,Company C,39604,437184,19
Industrial,2624,5,12,3,Carpet,10,Flat,Basement,Company B,24060,244099,34
Commercial,4685,9,4,1,Carpet,13,Pitched,Basement,Company D,36843,239301,32
Industrial,1107,9,4,3,Tile,8,Flat,Slab,Company A,21137,430165,18
Industrial,2721,4,9,2,Wood,11,Pitched,Crawl Space,Company D,9588,387792,31
Commercial,1430,6,10,1,Tile,8,Pitched,Crawl Space,Company B,41547,297135,18
Industrial,3171,2,1,4,Wood,11,Flat,Basement,Company C,28189,473332,27
Commercial,4100,3,11,4,Wood,12,Pitched,Basement,Company C,48997,492945,34
Industrial,4467,9,4,3,Tile,10,Flat,Crawl Space,Company A,29021,195019,13
Residential,1526,6,3,2,Carpet,11,Flat,Crawl Space,Company C,29372,229690,29
Residential,2448,8,9,1,Wood,14,Flat,Crawl Space,Company A,15268,350536,10
Industrial,2069,5,13,4,Tile,12,Gabled,Slab,Company A,15122,294161,33
Residential,1118,2,5,1,Carpet,11,Pitched,Slab,Company D,38918,127620,7
Commercial,4275,7,9,1,Carpet,9,Pitched,Slab,Company D,43078,212386,26
Residential,3578,6,10,1,Carpet,8,Flat,Crawl Space,Company B,21060,222462,11
Industrial,3858,2,6,1,Tile,13,Pitched,Crawl Space,Company B,25279,470137,32
Industrial,4934,6,11,3,Tile,13,Flat,Crawl Space,Company A,20480,104233,13
Commercial,2402,8,9,1,Carpet,10,Pitched,Crawl Space,Company B,6259,312024,17
Industrial,3056,1,1,4,Carpet,12,Pitched,Crawl Space,Company C,36544,110405,15
Commercial,1629,4,13,4,Carpet,10,Flat,Basement,Company A,31501,353810,23
Residential,1655,1,4,3,Carpet,8,Flat,Slab,Company A,36780,409981,12
Residential,3448,2,4,4,Tile,13,Flat,Crawl Space,Company B,41108,391558,14
Commercial,2658,1,14,1,Carpet,11,Pitched,Basement,Company D,30824,206278,15
Commercial,1902,6,10,4,Wood,11,Gabled,Slab,Company A,6479,263839,34
Industrial,3281,6,10,2,Wood,10,Gabled,Basement,Company A,20039,292201,30
Residential,2620,1,6,1,Tile,11,Pitched,Crawl Space,Company D,28467,200505,31
Commercial,2879,4,10,3,Wood,11,Pitched,Basement,Company D,41327,233345,25
Residential,3958,4,13,2,Wood,14,Flat,Basement,Company A,34165,130781,31
Commercial,3240,8,1,4,Wood,14,Flat,Basement,Company B,49902,261159,11
Residential,4484,6,10,2,Tile,11,Flat,Slab,Company A,8729,340294,27
Industrial,2055,2,5,4,Wood,9,Pitched,Basement,Company A,22525,277553,12
Residential,3757,5,3,4,Carpet,14,Flat,Slab,Company A,29479,394600,17
Residential,4451,4,1,4,Wood,12,Flat,Crawl Space,Company B,19257,164277,31
Residential,3039,4,6,3,Wood,12,Pitched,Crawl Space,Company D,38338,295217,12
Residential,2739,8,3,2,Wood,13,Gabled,Slab,Company A,40853,377156,31
Residential,1069,5,4,3,Carpet,14,Flat,Crawl Space,Company D,38224,410638,18
Industrial,4864,3,12,4,Tile,8,Gabled,Slab,Company A,16972,389952,23
Commercial,4575,4,9,1,Tile,11,Flat,Slab,Company B,35909,498255,10
Residential,1912,1,2,1,Wood,10,Flat,Basement,Company A,45396,339340,36
Industrial,1448,6,1,3,Carpet,11,Flat,Slab,Company A,49730,454351,22
Residential,1979,4,10,1,Wood,8,Pitched,Crawl Space,Company D,31974,116632,20
Residential,2942,6,6,2,Tile,11,Pitched,Slab,Company A,40988,108217,7
Commercial,816,2,12,1,Tile,9,Flat,Slab,Company A,34095,400291,27
Residential,916,5,1,1,Carpet,8,Flat,Slab,Company A,27578,143016,10
Industrial,2345,9,1,4,Carpet,12,Pitched,Basement,Company D,44624,446611,29
Industrial,3951,8,14,2,Tile,12,Pitched,Slab,Company C,28636,162729,21
Commercial,3493,3,7,2,Tile,9,Gabled,Crawl Space,Company D,26416,163728,33
Residential,4889,1,2,1,Tile,12,Pitched,Basement,Company A,48275,207844,6
Industrial,2076,3,4,4,Wood,13,Flat,Crawl Space,Company C,43858,486981,14
Residential,4040,8,4,1,Tile,9,Pitched,Basement,Company D,13403,146896,9
Residential,4588,3,2,1,Tile,12,Gabled,Basement,Company D,10617,388944,6
Residential,1171,5,6,3,Carpet,14,Gabled,Crawl Space,Company C,13575,144501,33
Commercial,3607,2,10,4,Tile,12,Flat,Crawl Space,Company C,24878,312456,16
Residential,955,1,14,3,Tile,13,Pitched,Basement,Company C,35911,334532,36
Industrial,3461,5,2,1,Carpet,11,Gabled,Basement,Company C,28808,467408,10
Residential,1264,5,12,1,Tile,14,Gabled,Crawl Space,Company B,29589,326545,15
Industrial,2573,6,8,4,Carpet,8,Gabled,Basement,Company B,42804,432165,14
Residential,916,2,4,2,Carpet,12,Flat,Basement,Company B,20764,199647,12
Industrial,2903,9,1,1,Carpet,8,Gabled,Basement,Company C,38648,330294,24
Industrial,2174,2,7,1,Carpet,8,Pitched,Basement,Company A,44623,155245,29
Residential,4003,2,6,3,Carpet,12,Flat,Basement,Company A,48856,435412,17
Residential,4346,5,12,3,Carpet,14,Pitched,Slab,Company A,20933,339648,23
Industrial,4777,9,14,4,Carpet,8,Pitched,Slab,Company D,27060,100576,9
Commercial,1996,4,6,3,Tile,13,Gabled,Basement,Company A,10502,205214,17
Residential,4211,6,11,2,Wood,9,Flat,Slab,Company B,24824,261739,28
Commercial,1596,2,3,1,Tile,14,Flat,Basement,Company C,9942,434402,9
Residential,4692,4,10,3,Carpet,13,Pitched,Basement,Company D,44809,280396,30
Residential,950,9,7,2,Carpet,10,Flat,Basement,Company B,34580,136951,8
Residential,4049,2,6,1,Tile,9,Flat,Slab,Company A,18555,345992,22
Residential,911,1,10,1,Wood,14,Flat,Basement,Company C,19236,188815,31
Commercial,1482,4,10,2,Tile,12,Flat,Slab,Company A,34851,449901,32
Residential,1961,4,9,1,Tile,9,Gabled,Basement,Company B,19087,126660,23
Industrial,3179,1,3,2,Tile,13,Pitched,Slab,Company B,36750,351227,14
